% # iter+eval+sigma+0+0+xmean (randomSeed=1618107963, Tue May 27 11:35:28 2014)
0	0	3.0000e-001	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
1	13	2.8543e-001	0	0	0.229775	0.364365	0.445285	0.472013	0.60857	0.377164	0.590367	0.456892	0.867135	0.289251	0.388151	0.875713	0.437311	0.691503	0.507893	0.667932	0.581296	0.338414	0.389382	0.412017	0.77061	0.479135
2	26	2.7879e-001	0	0	0.0979469	0.244412	0.558695	0.391479	0.970806	0.28929	0.714772	0.467898	0.821487	0.294999	0.630123	0.692245	0.373447	0.945715	0.478443	0.604209	0.605263	0.35677	0.605493	0.381352	0.793398	0.265196
3	39	2.7577e-001	0	0	0.0739395	0.296198	0.501866	0.446027	1.06139	0.369684	0.892846	0.458239	0.804617	0.19404	0.50687	0.689024	0.330633	1.16803	0.394347	0.21866	0.518624	0.437489	0.56064	0.235482	0.824648	0.474121
4	52	2.8399e-001	0	0	0.0227952	0.261909	0.520831	0.331413	1.17439	0.612763	1.08438	0.406061	0.80245	0.326112	0.498431	0.790543	0.265143	1.51735	0.137171	0.123421	0.523934	0.301499	0.490849	0.179155	0.769951	0.495908
5	65	3.0445e-001	0	0	0.0287035	0.43733	0.455569	0.345134	1.00066	0.750605	1.40418	0.436281	0.708648	0.553056	0.206536	0.641683	0.242646	1.86292	-0.137537	-0.084333	0.529829	0.397584	0.611515	0.420138	1.00054	0.449833
6	78	3.1933e-001	0	0	-0.01084	0.357323	0.545333	0.441859	1.37987	0.639318	1.39814	0.455396	1.01826	0.475939	0.155072	0.910672	0.115755	1.87071	-0.0695997	-0.20907	0.56109	0.329703	0.366745	0.313768	1.06004	0.384064
7	91	3.3504e-001	0	0	-0.00807878	0.515363	0.591666	0.535224	1.33668	0.637952	1.51754	0.648974	1.17467	0.439137	0.0317418	0.861987	0.089854	1.83104	-0.409794	-0.447208	0.511407	0.00744466	0.526351	0.338343	1.02562	0.409886
8	104	3.5231e-001	0	0	0.000368106	0.400443	0.872728	0.655462	1.35694	0.951485	1.46665	0.716821	0.644783	0.44294	0.130361	0.841199	0.00330648	1.97036	-0.621778	-0.384928	0.28964	-0.143601	0.457835	0.417882	1.27614	-0.0154626
9	117	3.5978e-001	0	0	0.00936775	0.744383	0.846766	0.707671	0.975777	0.769251	1.31483	0.850277	0.699097	0.493161	0.112393	0.786583	-0.16045	1.88711	-0.517927	-0.617497	0.421743	-0.282241	0.201117	0.564552	1.3672	0.118751
