% # iter+eval+sigma+axisratio+fbestever+fitness+fmedian+fworst+mindii+idxmaxSD+maxSD+idxminSD+minSD (randomSeed=1618107963, Tue May 27 11:35:28 2014)
1	13	2.8543e-001	1.00e+000	2.330514111295320e+002	2.330514111295320e+002	3.578650505524115e+003	1.431704717651063e+004	1.0000e+000	12	1.0098e+000	3	9.9557e-001
2	26	2.7879e-001	1.05e+000	1.060251529260703e+002	1.060251529260703e+002	2.159393944891904e+003	7.339520704611604e+003	9.9504e-001	12	1.0097e+000	3	9.9223e-001
3	39	2.7577e-001	1.06e+000	4.663434265441926e+001	4.663434265441926e+001	7.672669014972474e+002	3.871495652100740e+003	9.9010e-001	9	1.0127e+000	3	9.8958e-001
4	52	2.8399e-001	1.07e+000	1.479485052157003e+001	1.479485052157003e+001	8.072742316243121e+002	2.660187320950842e+003	9.8518e-001	14	1.0243e+000	8	9.8762e-001
5	65	3.0445e-001	1.11e+000	1.479485052157003e+001	2.193740250486875e+001	4.618829939306580e+002	2.786875441965739e+003	9.8044e-001	14	1.0515e+000	8	9.8631e-001
6	78	3.1933e-001	1.16e+000	1.479485052157003e+001	1.501466327917392e+001	3.866896727832611e+002	5.121875704864283e+003	9.7589e-001	14	1.0605e+000	8	9.8360e-001
7	91	3.3504e-001	1.21e+000	1.479485052157003e+001	2.357387815294727e+001	2.341563768428819e+002	3.394887477097866e+003	9.7128e-001	14	1.0658e+000	1	9.8289e-001
8	104	3.5231e-001	1.25e+000	1.479485052157003e+001	2.851280793924955e+001	3.919099517128604e+002	2.193229362694674e+003	9.6682e-001	14	1.0708e+000	1	9.7897e-001
9	117	3.5978e-001	1.29e+000	1.479485052157003e+001	1.576076648390922e+001	6.133390933333179e+002	7.479414708169838e+003	9.6239e-001	14	1.0741e+000	1	9.7470e-001
10	130	3.6334e-001	1.31e+000	1.479485052157003e+001	2.146429986876087e+001	6.015418860069482e+002	7.595547897337667e+003	9.5871e-001	14	1.0759e+000	1	9.7061e-001
11	143	3.6637e-001	1.34e+000	1.479485052157003e+001	1.678638829142739e+001	8.073091943455294e+002	8.311493979796374e+003	9.5446e-001	14	1.0775e+000	1	9.6617e-001
12	156	3.6126e-001	1.35e+000	1.479485052157003e+001	1.699819589575283e+001	1.760486610386255e+002	3.082983913017285e+003	9.5060e-001	14	1.0779e+000	1	9.6161e-001
13	169	3.6098e-001	1.37e+000	1.479485052157003e+001	2.305233494731407e+001	7.719682023916837e+002	5.753917184217298e+003	9.4701e-001	14	1.0744e+000	1	9.5761e-001
14	182	3.6133e-001	1.38e+000	1.479485052157003e+001	1.907291782650811e+001	2.545563037292519e+002	5.750336471899762e+003	9.4335e-001	14	1.0779e+000	1	9.5310e-001
15	195	3.6603e-001	1.39e+000	1.479485052157003e+001	2.123655807959054e+001	3.709444671850828e+002	6.000490559639786e+003	9.3890e-001	14	1.0778e+000	1	9.4851e-001
16	208	3.6929e-001	1.40e+000	1.479485052157003e+001	2.277919165001159e+001	3.433187629023129e+002	6.458218400621397e+003	9.3519e-001	14	1.0879e+000	1	9.4397e-001
